corpus,num_samples,war,uar,macro_f1,weighted_f1
CREMA-D,1229,0.5907241659886087,0.5918595371109338,0.5840958295477401,0.581763589472422
IEMOCAP,1785,0.5557422969187675,0.4189265454083362,0.41007903310189514,0.5571864408333161
RAVDESS,220,0.6136363636363636,0.6125,0.6238940623800341,0.6144960019352438
